case_id,file_path,actual_refactoring,ml_prediction,llm_prediction,ml_correct,llm_correct,lines_changed,complexity
75,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Attribute Annotation,Add Parameter Annotation,Rename Method,False,False,1,1
76,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Rename Method,True,False,1,1
77,platform/analysis-impl/src/com/intellij/codeInsigh...,Add Parameter Annotation,Add Parameter Annotation,Extract Method,True,False,1,1
78,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Attribute Annotation,Add Parameter Annotation,Rename Method,False,False,1,1
79,platform/analysis-impl/src/com/intellij/codeInsigh...,Rename Parameter,Rename Parameter,Extract Method,True,False,1,1
80,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Rename Method,True,False,1,1
81,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Extract Method,True,False,1,1
82,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Rename Method,True,False,1,1
83,platform/util/testSrc/com/intellij/util/Environmen...,Modify Method Annotation,Change Variable Type,Rename Class,False,False,1,1
84,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Extract Method,True,False,1,1
85,platform/lang-impl/src/com/intellij/codeInsight/co...,Extract Method,Extract Method,Extract Method,True,True,16,1
86,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Attribute Annotation,Add Parameter Annotation,Rename Method,False,False,1,1
87,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Rename Method,True,False,1,1
88,platform/util/testSrc/com/intellij/util/Environmen...,Change Method Access Modifier,Change Method Access Modifier,Rename Class,True,False,4,1
89,platform/platform-tests/testSrc/com/intellij/psi/i...,Extract Variable,Extract Variable,Rename Class,True,False,14,1
90,platform/platform-tests/testSrc/com/intellij/psi/i...,Rename Method,Extract Method,Extract Method,False,False,55,1
91,platform/platform-tests/testSrc/com/intellij/psi/i...,Change Variable Type,Rename Variable,Rename Method,False,False,1,1
92,platform/xdebugger-impl/src/com/intellij/xdebugger...,Add Class Annotation,Add Class Annotation,Rename Method,True,False,3,1
93,platform/analysis-impl/src/com/intellij/codeInsigh...,Add Parameter Annotation,Rename Parameter,Rename Method,False,False,1,1
94,platform/util/testSrc/com/intellij/util/Environmen...,Change Method Access Modifier,Change Method Access Modifier,Rename Class,True,False,5,1
95,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Attribute Annotation,Add Parameter Annotation,Extract Method,False,False,1,1
96,platform/core-impl/src/com/intellij/psi/impl/PsiDo...,Add Method Annotation,Add Method Annotation,Rename Method,True,False,6,1
97,platform/platform-tests/testSrc/com/intellij/psi/i...,Move Code,Extract Method,Extract Method,False,False,55,1
98,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Extract Method,True,False,1,1
99,platform/util/testSrc/com/intellij/util/Environmen...,Change Variable Type,Change Variable Type,Extract Variable,True,False,1,1
100,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Rename Method,True,False,1,1
101,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Rename Method,True,False,1,1
102,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Extract Method,True,False,1,1
103,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Method Annotation,Add Method Annotation,Rename Method,True,False,3,1
104,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Parameter Annotation,Add Parameter Annotation,Rename Parameter,True,False,1,1
105,platform/lang-impl/src/com/intellij/codeInsight/co...,Add Attribute Annotation,Add Parameter Annotation,Rename Method,False,False,1,1
